Cumulative_number_for_14_days_of_COVID-19_cases_per_100000;cases;continentExp;countriesAndTerritories;countryterritoryCode;dateRep;day;deaths;geoId;month;popData2019;year
901377925;746;Asia;Afghanistan;AFG;14/12/2020;14;6;AF;12;38041757;2020
705277624;298;Asia;Afghanistan;AFG;13/12/2020;13;9;AF;12;38041757;2020
686876792;113;Asia;Afghanistan;AFG;12/12/2020;12;11;AF;12;38041757;2020
713426564;63;Asia;Afghanistan;AFG;11/12/2020;11;10;AF;12;38041757;2020
696865815;202;Asia;Afghanistan;AFG;10/12/2020;10;16;AF;12;38041757;2020
696340077;135;Asia;Afghanistan;AFG;9/12/2020;9;13;AF;12;38041757;2020
709483529;200;Asia;Afghanistan;AFG;8/12/2020;8;6;AF;12;38041757;2020
721575505;210;Asia;Afghanistan;AFG;7/12/2020;7;26;AF;12;38041757;2020
732616004;234;Asia;Afghanistan;AFG;6/12/2020;6;10;AF;12;38041757;2020
711586481;235;Asia;Afghanistan;AFG;5/12/2020;5;18;AF;12;38041757;2020
710797874;119;Asia;Afghanistan;AFG;4/12/2020;4;5;AF;12;38041757;2020
753645527;202;Asia;Afghanistan;AFG;3/12/2020;3;19;AF;12;38041757;2020
700545982;400;Asia;Afghanistan;AFG;2/12/2020;2;48;AF;12;38041757;2020
696077208;272;Asia;Afghanistan;AFG;1/12/2020;1;11;AF;12;38041757;2020
641663317;0;Asia;Afghanistan;AFG;30/11/2020;30;0;AF;11;38041757;2020
68451097;228;Asia;Afghanistan;AFG;29/11/2020;29;11;AF;11;38041757;2020
678464983;214;Asia;Afghanistan;AFG;28/11/2020;28;15;AF;11;38041757;2020
639560365;0;Asia;Afghanistan;AFG;27/11/2020;27;0;AF;11;38041757;2020
734193218;200;Asia;Afghanistan;AFG;26/11/2020;26;12;AF;11;38041757;2020
71999829;185;Asia;Afghanistan;AFG;25/11/2020;25;13;AF;11;38041757;2020
671367519;246;Asia;Afghanistan;AFG;24/11/2020;24;17;AF;11;38041757;2020
6655844;252;Asia;Afghanistan;AFG;23/11/2020;23;8;AF;11;38041757;2020
620370926;154;Asia;Afghanistan;AFG;22/11/2020;22;12;AF;11;38041757;2020
613010593;232;Asia;Afghanistan;AFG;21/11/2020;21;25;AF;11;38041757;2020
56727138;282;Asia;Afghanistan;AFG;20/11/2020;20;5;AF;11;38041757;2020
503657073;0;Asia;Afghanistan;AFG;19/11/2020;19;0;AF;11;38041757;2020
535464227;383;Asia;Afghanistan;AFG;18/11/2020;18;13;AF;11;38041757;2020
457392123;65;Asia;Afghanistan;AFG;17/11/2020;17;6;AF;11;38041757;2020
465278194;163;Asia;Afghanistan;AFG;16/11/2020;16;9;AF;11;38041757;2020
457129254;205;Asia;Afghanistan;AFG;15/11/2020;15;12;AF;11;38041757;2020
423219148;66;Asia;Afghanistan;AFG;14/11/2020;14;10;AF;11;38041757;2020
447140231;360;Asia;Afghanistan;AFG;13/11/2020;13;14;AF;11;38041757;2020
384840269;146;Asia;Afghanistan;AFG;12/11/2020;12;4;AF;11;38041757;2020
34646139;0;Asia;Afghanistan;AFG;11/11/2020;11;0;AF;11;38041757;2020
376165591;224;Asia;Afghanistan;AFG;10/11/2020;10;12;AF;11;38041757;2020
369593865;80;Asia;Afghanistan;AFG;9/11/2020;9;3;AF;11;38041757;2020
365650829;126;Asia;Afghanistan;AFG;8/11/2020;8;6;AF;11;38041757;2020
353821723;58;Asia;Afghanistan;AFG;7/11/2020;7;2;AF;11;38041757;2020
35461033;40;Asia;Afghanistan;AFG;6/11/2020;6;0;AF;11;38041757;2020
374588377;121;Asia;Afghanistan;AFG;5/11/2020;5;6;AF;11;38041757;2020
378268543;86;Asia;Afghanistan;AFG;4/11/2020;4;4;AF;11;38041757;2020
378794281;95;Asia;Afghanistan;AFG;3/11/2020;3;3;AF;11;38041757;2020
376691329;132;Asia;Afghanistan;AFG;2/11/2020;2;5;AF;11;38041757;2020
357501889;76;Asia;Afghanistan;AFG;1/11/2020;1;0;AF;11;38041757;2020
355398937;157;Asia;Afghanistan;AFG;31/10/2020;31;4;AF;10;38041757;2020
326483343;123;Asia;Afghanistan;AFG;30/10/2020;30;3;AF;10;38041757;2020
294150452;0;Asia;Afghanistan;AFG;29/10/2020;29;0;AF;10;38041757;2020
302562261;113;Asia;Afghanistan;AFG;28/10/2020;28;7;AF;10;38041757;2020
290207416;199;Asia;Afghanistan;AFG;27/10/2020;27;8;AF;10;38041757;2020
271806583;65;Asia;Afghanistan;AFG;26/10/2020;26;3;AF;10;38041757;2020
279955524;81;Asia;Afghanistan;AFG;25/10/2020;25;4;AF;10;38041757;2020
258663132;61;Asia;Afghanistan;AFG;24/10/2020;24;2;AF;10;38041757;2020
245256811;116;Asia;Afghanistan;AFG;23/10/2020;23;4;AF;10;38041757;2020
235004918;135;Asia;Afghanistan;AFG;22/10/2020;22;2;AF;10;38041757;2020
217392693;88;Asia;Afghanistan;AFG;21/10/2020;21;2;AF;10;38041757;2020
210558098;87;Asia;Afghanistan;AFG;20/10/2020;20;5;AF;10;38041757;2020
225804502;59;Asia;Afghanistan;AFG;19/10/2020;19;4;AF;10;38041757;2020
221861467;68;Asia;Afghanistan;AFG;18/10/2020;18;3;AF;10;38041757;2020
205826455;47;Asia;Afghanistan;AFG;17/10/2020;17;4;AF;10;38041757;2020
194785956;0;Asia;Afghanistan;AFG;16/10/2020;16;0;AF;10;38041757;2020
199254729;32;Asia;Afghanistan;AFG;15/10/2020;15;1;AF;10;38041757;2020
194523087;66;Asia;Afghanistan;AFG;14/10/2020;14;0;AF;10;38041757;2020
181116766;129;Asia;Afghanistan;AFG;13/10/2020;13;3;AF;10;38041757;2020
150361089;96;Asia;Afghanistan;AFG;12/10/2020;12;4;AF;10;38041757;2020
125125661;0;Asia;Afghanistan;AFG;11/10/2020;11;0;AF;10;38041757;2020
134326078;10;Asia;Afghanistan;AFG;10/10/2020;10;1;AF;10;38041757;2020
133274601;77;Asia;Afghanistan;AFG;9/10/2020;9;2;AF;10;38041757;2020
11723959;68;Asia;Afghanistan;AFG;8/10/2020;8;1;AF;10;38041757;2020
105936222;62;Asia;Afghanistan;AFG;7/10/2020;7;2;AF;10;38041757;2020
108302043;145;Asia;Afghanistan;AFG;6/10/2020;6;5;AF;10;38041757;2020
78072104;44;Asia;Afghanistan;AFG;5/10/2020;5;0;AF;10;38041757;2020
66505866;7;Asia;Afghanistan;AFG;4/10/2020;4;4;AF;10;38041757;2020
97524412;5;Asia;Afghanistan;AFG;3/10/2020;3;0;AF;10;38041757;2020
108564912;17;Asia;Afghanistan;AFG;2/10/2020;2;0;AF;10;38041757;2020
104096138;14;Asia;Afghanistan;AFG;1/10/2020;1;0;AF;10;38041757;2020
104884745;15;Asia;Afghanistan;AFG;30/9/2020;30;2;AF;9;38041757;2020
111456471;12;Asia;Afghanistan;AFG;29/9/2020;29;3;AF;9;38041757;2020
134326078;0;Asia;Afghanistan;AFG;28/9/2020;28;0;AF;9;38041757;2020
154041255;35;Asia;Afghanistan;AFG;27/9/2020;27;0;AF;9;38041757;2020
154041255;6;Asia;Afghanistan;AFG;26/9/2020;26;2;AF;9;38041757;2020
161401588;16;Asia;Afghanistan;AFG;25/9/2020;25;0;AF;9;38041757;2020
164556017;25;Asia;Afghanistan;AFG;24/9/2020;24;5;AF;9;38041757;2020
164293148;71;Asia;Afghanistan;AFG;23/9/2020;23;2;AF;9;38041757;2020
152464041;30;Asia;Afghanistan;AFG;22/9/2020;22;3;AF;9;38041757;2020
169813397;0;Asia;Afghanistan;AFG;21/9/2020;21;0;AF;9;38041757;2020
189265706;125;Asia;Afghanistan;AFG;20/9/2020;20;4;AF;9;38041757;2020
161664457;47;Asia;Afghanistan;AFG;19/9/2020;19;1;AF;9;38041757;2020
153515517;0;Asia;Afghanistan;AFG;18/9/2020;18;0;AF;9;38041757;2020
165344624;17;Asia;Afghanistan;AFG;17/9/2020;17;0;AF;9;38041757;2020
170864874;40;Asia;Afghanistan;AFG;16/9/2020;16;10;AF;9;38041757;2020
162715933;99;Asia;Afghanistan;AFG;15/9/2020;15;6;AF;9;38041757;2020
145629446;75;Asia;Afghanistan;AFG;14/9/2020;14;0;AF;9;38041757;2020
13090878;35;Asia;Afghanistan;AFG;13/9/2020;13;0;AF;9;38041757;2020
122496971;34;Asia;Afghanistan;AFG;12/9/2020;12;0;AF;9;38041757;2020
116450983;28;Asia;Afghanistan;AFG;11/9/2020;11;0;AF;9;38041757;2020
109879257;24;Asia;Afghanistan;AFG;10/9/2020;10;2;AF;9;38041757;2020
118028197;26;Asia;Afghanistan;AFG;9/9/2020;9;3;AF;9;38041757;2020
111456471;96;Asia;Afghanistan;AFG;8/9/2020;8;3;AF;9;38041757;2020
104884745;74;Asia;Afghanistan;AFG;7/9/2020;7;2;AF;9;38041757;2020
85432437;20;Asia;Afghanistan;AFG;6/9/2020;6;0;AF;9;38041757;2020
107776305;16;Asia;Afghanistan;AFG;5/9/2020;5;0;AF;9;38041757;2020
113559424;45;Asia;Afghanistan;AFG;4/9/2020;4;1;AF;9;38041757;2020
127228614;38;Asia;Afghanistan;AFG;3/9/2020;3;3;AF;9;38041757;2020
159298636;9;Asia;Afghanistan;AFG;2/9/2020;2;0;AF;9;38041757;2020
156932815;34;Asia;Afghanistan;AFG;1/9/2020;1;4;AF;9;38041757;2020
148783875;19;Asia;Afghanistan;AFG;31/8/2020;31;0;AF;8;38041757;2020
155618469;3;Asia;Afghanistan;AFG;30/8/2020;30;0;AF;8;38041757;2020
186374147;11;Asia;Afghanistan;AFG;29/8/2020;29;1;AF;8;38041757;2020
185322671;3;Asia;Afghanistan;AFG;28/8/2020;28;0;AF;8;38041757;2020
205300717;55;Asia;Afghanistan;AFG;27/8/2020;27;4;AF;8;38041757;2020
210820967;1;Asia;Afghanistan;AFG;26/8/2020;26;0;AF;8;38041757;2020
267074941;71;Asia;Afghanistan;AFG;25/8/2020;25;10;AF;8;38041757;2020
248411239;0;Asia;Afghanistan;AFG;24/8/2020;24;0;AF;8;38041757;2020
248411239;105;Asia;Afghanistan;AFG;23/8/2020;23;2;AF;8;38041757;2020
231061883;38;Asia;Afghanistan;AFG;22/8/2020;22;0;AF;8;38041757;2020
241576644;97;Asia;Afghanistan;AFG;21/8/2020;21;2;AF;8;38041757;2020
226855978;160;Asia;Afghanistan;AFG;20/8/2020;20;8;AF;8;38041757;2020
202409158;0;Asia;Afghanistan;AFG;19/8/2020;19;0;AF;8;38041757;2020
223964419;3;Asia;Afghanistan;AFG;18/8/2020;18;0;AF;8;38041757;2020
232901966;45;Asia;Afghanistan;AFG;17/8/2020;17;5;AF;8;38041757;2020
221072859;120;Asia;Afghanistan;AFG;16/8/2020;16;7;AF;8;38041757;2020
189528575;7;Asia;Afghanistan;AFG;15/8/2020;15;0;AF;8;38041757;2020
23185049;79;Asia;Afghanistan;AFG;14/8/2020;14;9;AF;8;38041757;2020
229747538;76;Asia;Afghanistan;AFG;13/8/2020;13;10;AF;8;38041757;2020
209769491;215;Asia;Afghanistan;AFG;12/8/2020;12;32;AF;8;38041757;2020
180328159;0;Asia;Afghanistan;AFG;11/8/2020;11;0;AF;8;38041757;2020
207929408;0;Asia;Afghanistan;AFG;10/8/2020;10;0;AF;8;38041757;2020
235793526;39;Asia;Afghanistan;AFG;9/8/2020;9;5;AF;8;38041757;2020
257348786;78;Asia;Afghanistan;AFG;8/8/2020;8;9;AF;8;38041757;2020
265234858;41;Asia;Afghanistan;AFG;7/8/2020;7;0;AF;8;38041757;2020
257874525;67;Asia;Afghanistan;AFG;6/8/2020;6;4;AF;8;38041757;2020
289681678;82;Asia;Afghanistan;AFG;5/8/2020;5;6;AF;8;38041757;2020
297567749;37;Asia;Afghanistan;AFG;4/8/2020;4;4;AF;8;38041757;2020
32464326;0;Asia;Afghanistan;AFG;3/8/2020;3;1;AF;8;38041757;2020
370382472;0;Asia;Afghanistan;AFG;2/8/2020;2;0;AF;8;38041757;2020
373536901;168;Asia;Afghanistan;AFG;1/8/2020;1;12;AF;8;38041757;2020
386943221;71;Asia;Afghanistan;AFG;31/7/2020;31;0;AF;7;38041757;2020
388257567;0;Asia;Afghanistan;AFG;30/7/2020;30;0;AF;7;38041757;2020
455026302;103;Asia;Afghanistan;AFG;29/7/2020;29;1;AF;7;38041757;2020
502868466;105;Asia;Afghanistan;AFG;28/7/2020;28;1;AF;7;38041757;2020
476318694;106;Asia;Afghanistan;AFG;27/7/2020;27;10;AF;7;38041757;2020
448454576;121;Asia;Afghanistan;AFG;26/7/2020;26;13;AF;7;38041757;2020
438991291;108;Asia;Afghanistan;AFG;25/7/2020;25;35;AF;7;38041757;2020
530995453;13;Asia;Afghanistan;AFG;24/7/2020;24;0;AF;7;38041757;2020
59460976;188;Asia;Afghanistan;AFG;23/7/2020;23;21;AF;7;38041757;2020
560699654;112;Asia;Afghanistan;AFG;22/7/2020;22;4;AF;7;38041757;2020
58646082;140;Asia;Afghanistan;AFG;21/7/2020;21;5;AF;7;38041757;2020
663481448;174;Asia;Afghanistan;AFG;20/7/2020;20;17;AF;7;38041757;2020
691082696;12;Asia;Afghanistan;AFG;19/7/2020;19;17;AF;7;38041757;2020
779406692;219;Asia;Afghanistan;AFG;18/7/2020;18;32;AF;7;38041757;2020
801224823;76;Asia;Afghanistan;AFG;17/7/2020;17;21;AF;7;38041757;2020
830140416;254;Asia;Afghanistan;AFG;16/7/2020;16;49;AF;7;38041757;2020
847226904;285;Asia;Afghanistan;AFG;15/7/2020;15;33;AF;7;38041757;2020
84564969;4;Asia;Afghanistan;AFG;14/7/2020;14;2;AF;7;38041757;2020
915835722;0;Asia;Afghanistan;AFG;13/7/2020;13;0;AF;7;38041757;2020
1008102754;85;Asia;Afghanistan;AFG;12/7/2020;12;16;AF;7;38041757;2020
1029132277;458;Asia;Afghanistan;AFG;11/7/2020;11;37;AF;7;38041757;2020
981290112;255;Asia;Afghanistan;AFG;10/7/2020;10;20;AF;7;38041757;2020
1035178265;59;Asia;Afghanistan;AFG;9/7/2020;9;1;AF;7;38041757;2020
1081180346;210;Asia;Afghanistan;AFG;8/7/2020;8;16;AF;7;38041757;2020
1114827583;433;Asia;Afghanistan;AFG;7/7/2020;7;56;AF;7;38041757;2020
1082494691;279;Asia;Afghanistan;AFG;6/7/2020;6;38;AF;7;38041757;2020
1116667666;348;Asia;Afghanistan;AFG;5/7/2020;5;7;AF;7;38041757;2020
1168715735;302;Asia;Afghanistan;AFG;4/7/2020;4;12;AF;7;38041757;2020
1180281973;186;Asia;Afghanistan;AFG;3/7/2020;3;33;AF;7;38041757;2020
1304356158;319;Asia;Afghanistan;AFG;2/7/2020;2;28;AF;7;38041757;2020
1368759072;279;Asia;Afghanistan;AFG;1/7/2020;1;13;AF;7;38041757;2020
1501245066;271;Asia;Afghanistan;AFG;30/6/2020;30;12;AF;6;38041757;2020
1630050894;351;Asia;Afghanistan;AFG;29/6/2020;29;18;AF;6;38041757;2020
1712328902;165;Asia;Afghanistan;AFG;28/6/2020;28;20;AF;6;38041757;2020
1815110695;276;Asia;Afghanistan;AFG;27/6/2020;27;8;AF;6;38041757;2020
1915000929;460;Asia;Afghanistan;AFG;26/6/2020;26;36;AF;6;38041757;2020
1990444343;234;Asia;Afghanistan;AFG;25/6/2020;25;21;AF;6;38041757;2020
2108735409;338;Asia;Afghanistan;AFG;24/6/2020;24;20;AF;6;38041757;2020
2162360692;310;Asia;Afghanistan;AFG;23/6/2020;23;17;AF;6;38041757;2020
2232020987;409;Asia;Afghanistan;AFG;22/6/2020;22;12;AF;6;38041757;2020
2332436959;546;Asia;Afghanistan;AFG;21/6/2020;21;21;AF;6;38041757;2020
2341900244;346;Asia;Afghanistan;AFG;20/6/2020;20;2;AF;6;38041757;2020
2491472726;658;Asia;Afghanistan;AFG;19/6/2020;19;42;AF;6;38041757;2020
2525382831;564;Asia;Afghanistan;AFG;18/6/2020;18;13;AF;6;38041757;2020
2576379424;783;Asia;Afghanistan;AFG;17/6/2020;17;13;AF;6;38041757;2020
2570070567;761;Asia;Afghanistan;AFG;16/6/2020;16;7;AF;6;38041757;2020
2513290856;664;Asia;Afghanistan;AFG;15/6/2020;15;20;AF;6;38041757;2020
251749676;556;Asia;Afghanistan;AFG;14/6/2020;14;5;AF;6;38041757;2020
2598986161;656;Asia;Afghanistan;AFG;13/6/2020;13;20;AF;6;38041757;2020
2590311483;747;Asia;Afghanistan;AFG;12/6/2020;12;21;AF;6;38041757;2020
2546412354;684;Asia;Afghanistan;AFG;11/6/2020;11;21;AF;6;38041757;2020
2530903081;542;Asia;Afghanistan;AFG;10/6/2020;10;15;AF;6;38041757;2020
2561395889;575;Asia;Afghanistan;AFG;9/6/2020;9;12;AF;6;38041757;2020
2565601794;791;Asia;Afghanistan;AFG;8/6/2020;8;30;AF;6;38041757;2020
2511187903;582;Asia;Afghanistan;AFG;7/6/2020;7;18;AF;6;38041757;2020
2563761711;915;Asia;Afghanistan;AFG;6/6/2020;6;9;AF;6;38041757;2020
2465185822;787;Asia;Afghanistan;AFG;5/6/2020;5;6;AF;6;38041757;2020
2397891349;758;Asia;Afghanistan;AFG;4/6/2020;4;24;AF;6;38041757;2020
2327968185;759;Asia;Afghanistan;AFG;3/6/2020;3;5;AF;6;38041757;2020
2281177497;545;Asia;Afghanistan;AFG;2/6/2020;2;8;AF;6;38041757;2020
2245164439;680;Asia;Afghanistan;AFG;1/6/2020;1;8;AF;6;38041757;2020
2135285181;866;Asia;Afghanistan;AFG;31/5/2020;31;3;AF;5;38041757;2020
1907640596;623;Asia;Afghanistan;AFG;30/5/2020;30;11;AF;5;38041757;2020
2023302972;580;Asia;Afghanistan;AFG;29/5/2020;29;8;AF;5;38041757;2020
1900543132;625;Asia;Afghanistan;AFG;28/5/2020;28;7;AF;5;38041757;2020
1804333065;658;Asia;Afghanistan;AFG;27/5/2020;27;1;AF;5;38041757;2020
1704968569;591;Asia;Afghanistan;AFG;26/5/2020;26;1;AF;5;38041757;2020
1624530644;584;Asia;Afghanistan;AFG;25/5/2020;25;2;AF;5;38041757;2020
1568013801;782;Asia;Afghanistan;AFG;24/5/2020;24;11;AF;5;38041757;2020
1429481819;540;Asia;Afghanistan;AFG;23/5/2020;23;12;AF;5;38041757;2020
1344049382;531;Asia;Afghanistan;AFG;22/5/2020;22;6;AF;5;38041757;2020
1249416529;492;Asia;Afghanistan;AFG;21/5/2020;21;9;AF;5;38041757;2020
1164246962;581;Asia;Afghanistan;AFG;20/5/2020;20;5;AF;5;38041757;2020
1098266833;408;Asia;Afghanistan;AFG;19/5/2020;19;4;AF;5;38041757;2020
1040961384;262;Asia;Afghanistan;AFG;18/5/2020;18;1;AF;5;38041757;2020
103386392;0;Asia;Afghanistan;AFG;17/5/2020;17;0;AF;5;38041757;2020
106908837;1063;Asia;Afghanistan;AFG;16/5/2020;16;32;AF;5;38041757;2020
832769107;113;Asia;Afghanistan;AFG;15/5/2020;15;6;AF;5;38041757;2020
861421832;259;Asia;Afghanistan;AFG;14/5/2020;14;3;AF;5;38041757;2020
825408774;280;Asia;Afghanistan;AFG;13/5/2020;13;5;AF;5;38041757;2020
784401204;285;Asia;Afghanistan;AFG;12/5/2020;12;2;AF;5;38041757;2020
754697003;369;Asia;Afghanistan;AFG;11/5/2020;11;5;AF;5;38041757;2020
675573423;255;Asia;Afghanistan;AFG;10/5/2020;10;6;AF;5;38041757;2020
637983151;215;Asia;Afghanistan;AFG;9/5/2020;9;3;AF;5;38041757;2020
599867141;171;Asia;Afghanistan;AFG;8/5/2020;8;2;AF;5;38041757;2020
582517784;168;Asia;Afghanistan;AFG;7/5/2020;7;9;AF;5;38041757;2020
560436785;330;Asia;Afghanistan;AFG;6/5/2020;6;5;AF;5;38041757;2020
489725015;190;Asia;Afghanistan;AFG;5/5/2020;5;5;AF;5;38041757;2020
448980314;235;Asia;Afghanistan;AFG;4/5/2020;4;13;AF;5;38041757;2020
410338566;134;Asia;Afghanistan;AFG;3/5/2020;3;4;AF;5;38041757;2020
391674864;164;Asia;Afghanistan;AFG;2/5/2020;2;4;AF;5;38041757;2020
361970663;222;Asia;Afghanistan;AFG;1/5/2020;1;4;AF;5;38041757;2020
306242427;122;Asia;Afghanistan;AFG;30/4/2020;30;0;AF;4;38041757;2020
292573237;124;Asia;Afghanistan;AFG;29/4/2020;29;3;AF;4;38041757;2020
27285806;172;Asia;Afghanistan;AFG;28/4/2020;28;0;AF;4;38041757;2020
242890989;68;Asia;Afghanistan;AFG;27/4/2020;27;10;AF;4;38041757;2020
238685085;112;Asia;Afghanistan;AFG;26/4/2020;26;4;AF;4;38041757;2020
2181813;70;Asia;Afghanistan;AFG;25/4/2020;25;1;AF;4;38041757;2020
209506622;105;Asia;Afghanistan;AFG;24/4/2020;24;2;AF;4;38041757;2020
197940384;84;Asia;Afghanistan;AFG;23/4/2020;23;4;AF;4;38041757;2020
190580051;61;Asia;Afghanistan;AFG;22/4/2020;22;1;AF;4;38041757;2020
182431111;35;Asia;Afghanistan;AFG;21/4/2020;21;2;AF;4;38041757;2020
183219718;88;Asia;Afghanistan;AFG;20/4/2020;20;3;AF;4;38041757;2020
167710445;63;Asia;Afghanistan;AFG;19/4/2020;19;0;AF;4;38041757;2020
160350112;51;Asia;Afghanistan;AFG;18/4/2020;18;1;AF;4;38041757;2020
146943791;10;Asia;Afghanistan;AFG;17/4/2020;17;4;AF;4;38041757;2020
155618469;70;Asia;Afghanistan;AFG;16/4/2020;16;2;AF;4;38041757;2020
144052232;49;Asia;Afghanistan;AFG;15/4/2020;15;2;AF;4;38041757;2020
137743375;58;Asia;Afghanistan;AFG;14/4/2020;14;3;AF;4;38041757;2020
129594435;52;Asia;Afghanistan;AFG;13/4/2020;13;0;AF;4;38041757;2020
118028197;34;Asia;Afghanistan;AFG;12/4/2020;12;3;AF;4;38041757;2020
113033686;37;Asia;Afghanistan;AFG;11/4/2020;11;0;AF;4;38041757;2020
107513436;61;Asia;Afghanistan;AFG;10/4/2020;10;1;AF;4;38041757;2020
91478425;56;Asia;Afghanistan;AFG;9/4/2020;9;3;AF;4;38041757;2020
85432437;30;Asia;Afghanistan;AFG;8/4/2020;8;4;AF;4;38041757;2020
78072104;38;Asia;Afghanistan;AFG;7/4/2020;7;0;AF;4;38041757;2020
69660295;29;Asia;Afghanistan;AFG;6/4/2020;6;2;AF;4;38041757;2020
64665783;35;Asia;Afghanistan;AFG;5/4/2020;5;1;AF;4;38041757;2020
55465367;0;Asia;Afghanistan;AFG;4/4/2020;4;0;AF;4;38041757;2020
55991105;43;Asia;Afghanistan;AFG;3/4/2020;3;0;AF;4;38041757;2020
44687736;26;Asia;Afghanistan;AFG;2/4/2020;2;0;AF;4;38041757;2020
37853141;25;Asia;Afghanistan;AFG;1/4/2020;1;0;AF;4;38041757;2020
31544284;27;Asia;Afghanistan;AFG;31/3/2020;31;0;AF;3;38041757;2020
25761166;8;Asia;Afghanistan;AFG;30/3/2020;30;1;AF;3;38041757;2020
25235427;15;Asia;Afghanistan;AFG;29/3/2020;29;1;AF;3;38041757;2020
22080999;16;Asia;Afghanistan;AFG;28/3/2020;28;1;AF;3;38041757;2020
18663702;0;Asia;Afghanistan;AFG;27/3/2020;27;0;AF;3;38041757;2020
19452309;33;Asia;Afghanistan;AFG;26/3/2020;26;0;AF;3;38041757;2020
1077763;2;Asia;Afghanistan;AFG;25/3/2020;25;0;AF;3;38041757;2020
10251892;6;Asia;Afghanistan;AFG;24/3/2020;24;1;AF;3;38041757;2020
8674678;10;Asia;Afghanistan;AFG;23/3/2020;23;0;AF;3;38041757;2020
6045988;0;Asia;Afghanistan;AFG;22/3/2020;22;0;AF;3;38041757;2020
6045988;2;Asia;Afghanistan;AFG;21/3/2020;21;0;AF;3;38041757;2020
552025;0;Asia;Afghanistan;AFG;20/3/2020;20;0;AF;3;38041757;2020
5783119;0;Asia;Afghanistan;AFG;19/3/2020;19;0;AF;3;38041757;2020
5783119;1;Asia;Afghanistan;AFG;18/3/2020;18;0;AF;3;38041757;2020
552025;5;Asia;Afghanistan;AFG;17/3/2020;17;0;AF;3;38041757;2020
4205905;6;Asia;Afghanistan;AFG;16/3/2020;16;0;AF;3;38041757;2020
262869;3;Asia;Afghanistan;AFG;15/3/2020;15;0;AF;3;38041757;2020
1840083;3;Asia;Afghanistan;AFG;11/3/2020;11;0;AF;3;38041757;2020
1051476;3;Asia;Afghanistan;AFG;8/3/2020;8;0;AF;3;38041757;2020
262869;0;Asia;Afghanistan;AFG;2/3/2020;2;0;AF;3;38041757;2020
262869;0;Asia;Afghanistan;AFG;1/3/2020;1;0;AF;3;38041757;2020
262869;0;Asia;Afghanistan;AFG;29/2/2020;29;0;AF;2;38041757;2020
262869;0;Asia;Afghanistan;AFG;28/2/2020;28;0;AF;2;38041757;2020
262869;0;Asia;Afghanistan;AFG;27/2/2020;27;0;AF;2;38041757;2020
262869;0;Asia;Afghanistan;AFG;26/2/2020;26;0;AF;2;38041757;2020
262869;1;Asia;Afghanistan;AFG;25/2/2020;25;0;AF;2;38041757;2020
0;0;Asia;Afghanistan;AFG;24/2/2020;24;0;AF;2;38041757;2020
0;0;Asia;Afghanistan;AFG;23/2/2020;23;0;AF;2;38041757;2020
0;0;Asia;Afghanistan;AFG;22/2/2020;22;0;AF;2;38041757;2020
0;0;Asia;Afghanistan;AFG;21/2/2020;21;0;AF;2;38041757;2020
0;0;Asia;Afghanistan;AFG;20/2/2020;20;0;AF;2;38041757;2020
0;0;Asia;Afghanistan;AFG;19/2/2020;19;0;AF;2;38041757;2020
0;0;Asia;Afghanistan;AFG;18/2/2020;18;0;AF;2;38041757;2020
0;0;Asia;Afghanistan;AFG;17/2/2020;17;0;AF;2;38041757;2020
0;0;Asia;Afghanistan;AFG;16/2/2020;16;0;AF;2;38041757;2020
0;0;Asia;Afghanistan;AFG;15/2/2020;15;0;AF;2;38041757;2020
0;0;Asia;Afghanistan;AFG;14/2/2020;14;0;AF;2;38041757;2020
0;0;Asia;Afghanistan;AFG;13/2/2020;13;0;AF;2;38041757;2020
0;0;Asia;Afghanistan;AFG;12/2/2020;12;0;AF;2;38041757;2020
0;0;Asia;Afghanistan;AFG;11/2/2020;11;0;AF;2;38041757;2020
0;0;Asia;Afghanistan;AFG;10/2/2020;10;0;AF;2;38041757;2020
0;0;Asia;Afghanistan;AFG;9/2/2020;9;0;AF;2;38041757;2020
0;0;Asia;Afghanistan;AFG;8/2/2020;8;0;AF;2;38041757;2020
0;0;Asia;Afghanistan;AFG;7/2/2020;7;0;AF;2;38041757;2020
0;0;Asia;Afghanistan;AFG;6/2/2020;6;0;AF;2;38041757;2020
0;0;Asia;Afghanistan;AFG;5/2/2020;5;0;AF;2;38041757;2020
0;0;Asia;Afghanistan;AFG;4/2/2020;4;0;AF;2;38041757;2020
0;0;Asia;Afghanistan;AFG;3/2/2020;3;0;AF;2;38041757;2020
0;0;Asia;Afghanistan;AFG;2/2/2020;2;0;AF;2;38041757;2020
0;0;Asia;Afghanistan;AFG;1/2/2020;1;0;AF;2;38041757;2020
0;0;Asia;Afghanistan;AFG;31/1/2020;31;0;AF;1;38041757;2020
0;0;Asia;Afghanistan;AFG;30/1/2020;30;0;AF;1;38041757;2020
0;0;Asia;Afghanistan;AFG;29/1/2020;29;0;AF;1;38041757;2020
0;0;Asia;Afghanistan;AFG;28/1/2020;28;0;AF;1;38041757;2020
0;0;Asia;Afghanistan;AFG;27/1/2020;27;0;AF;1;38041757;2020
0;0;Asia;Afghanistan;AFG;26/1/2020;26;0;AF;1;38041757;2020
0;0;Asia;Afghanistan;AFG;25/1/2020;25;0;AF;1;38041757;2020
0;0;Asia;Afghanistan;AFG;24/1/2020;24;0;AF;1;38041757;2020
